,new_length,original_length:,language,script,XLM-R
0,127064,155515,srd,['Latn'],
1,43514870,55060959,ben,['Beng'],True
2,83297,113445,ajp,['Arab'],
3,648540,1120269,ben,['Latn'],
4,74430,86401,tdx,['Latn'],
5,33517,33906,tpm,['Latn'],
6,96986,100145,grc,['Grek'],
7,51749,61406,sxn,['Latn'],
8,3015055,5030397,cos,['Latn'],
9,32863,54790,tlh,['Latn'],
10,130406,160949,sid,['Latn'],
11,32048,38781,jam,['Latn'],
12,59805,62592,ban,['Latn'],
13,1521612,1727429,kin,['Latn'],
14,31889,33496,rop,['Latn'],
15,104392,119444,alz,['Latn'],
16,473274,546790,kwy,['Latn'],
17,2392359,2861354,yor,['Latn'],
18,66966,140387,lao,['Laoo'],True
19,22714,22868,wlx,['Latn'],
20,46300705,58416686,aze,['Latn'],
21,945180,994258,mya,['Mymr'],True
22,356561,450673,ssw,['Latn'],
23,509250,541454,lus,['Latn'],
24,163321,210386,tgk,['Arab'],
25,96484,98412,hbo,['Hebr'],
26,138953,162621,mgr,['Latn'],
27,39985,41878,crh,['Cyrl'],
28,24524122,41328884,ara,['Arab'],True
29,28748897,38479563,mar,['Deva'],True
30,163485,182577,nba,['Latn'],
31,205772,572895,ara,['Latn'],
32,50581,64810,mny,['Latn'],
33,943828,1094794,run,['Latn'],
34,19923,26028,gan,['Hani'],
35,31787973,46561793,rus,['Cyrl'],True
36,63411156,66003673,hbs,['Latn'],
37,566948,692469,lug,['Latn'],
38,30136,31985,pls,['Latn'],
39,147261,164430,hif,['Latn'],
40,586530,654763,tll,['Latn'],
41,18553,21212,dnj,['Latn'],
42,508755,563133,crs,['Latn'],
43,170882,540345,tha,['Latn'],
44,78177,90731,rng,['Latn'],
45,656389,756487,nan,['Latn'],
46,160645,186633,cjk,['Latn'],
47,300243,359422,seh,['Latn'],
48,30857,31055,rug,['Latn'],
49,4368483,4776310,hau,['Latn'],True
50,27760,32099,bbj,['Latn'],
51,3223485,3544751,uzb,['Latn'],True
52,23795,28269,aeb,['Arab'],
53,36835,36999,bim,['Latn'],
54,16441,21034,qvw,['Latn'],
55,43076,69358,vep,['Latn'],
56,15719210,25903901,slv,['Latn'],True
57,21111,21171,aak,['Latn'],
58,1315834,1413424,azj,['Latn'],
59,38812,39905,cac,['Latn'],
60,43072,44101,npi,['Deva'],
61,1408460,1576063,lin,['Latn'],
62,37013,37360,zom,['Latn'],
63,151728,172111,kmr,['Cyrl'],
64,29205,34224,aba,['Latn'],
65,44505,82814,acm,['Arab'],
66,16730388,32826347,fin,['Latn'],True
67,94533,109245,rmn,['Grek'],
68,29841,30077,tqb,['Latn'],
69,882167,942616,wls,['Latn'],
70,18800025,33151080,hun,['Latn'],True
71,42447,64623,lij,['Latn'],
72,45566,46648,quh,['Latn'],
73,79503,188782,hye,['Latn'],
74,358929,384669,yap,['Latn'],
75,321578,520151,abk,['Cyrl'],
76,13473,25051,ang,['Latn'],
77,972757,2735641,rus,['Latn'],
78,80745,121437,cmn,['Hani'],True
79,33743,62675,csb,['Latn'],
80,259158,326411,nbl,['Latn'],
81,18818,23202,btg,['Latn'],
82,174305,207430,ndc,['Latn'],
83,1449128,1987453,oci,['Latn'],
84,2365271,2546797,fao,['Latn'],
85,31161,32115,tui,['Latn'],
86,31765,36283,xav,['Latn'],
87,28074,30928,ike,['Cans'],
88,30704,42934,aka,['Latn'],
89,20742,20984,taq,['Latn'],
90,437950,504775,mon,['Latn'],
91,41174,48206,gor,['Latn'],
92,31471,32657,kjb,['Latn'],
